observation_count,replicate,threshold,holdout_roc_auc,holdout_balanced_accuracy,holdout_sensitivity,holdout_specificity,development_roc_auc,development_balanced_accuracy
160,17,1.0587821281152314,0.8452380952380952,0.7142857142857143,0.42857142857142855,1.0,0.8098039215686275,0.8068627450980392
160,18,1.3644552104280878,0.8589743589743589,0.8782051282051282,0.8333333333333334,0.9230769230769231,0.9161904761904762,0.8857142857142857
160,19,1.5439245125290384,0.9305555555555556,0.7708333333333333,0.875,0.6666666666666666,0.875801282051282,0.8465544871794872
160,20,1.597606026893795,0.8866666666666667,0.8166666666666667,0.7333333333333333,0.9,0.8508771929824561,0.8584529505582137
160,21,1.6446097214234574,0.9236111111111112,0.7951388888888888,0.8125,0.7777777777777778,0.9391025641025641,0.9046474358974359
160,22,1.4630048867127807,0.8921568627450981,0.8300653594771241,0.7777777777777778,0.8823529411764706,0.8924731182795699,0.8354838709677419
160,23,1.6140302012062233,1.0,0.9545454545454546,0.9090909090909091,1.0,0.8122717311906501,0.7972972972972974
240,0,1.442683968350462,0.9230769230769231,0.8461538461538463,0.9230769230769231,0.7692307692307693,0.7959183673469388,0.7714285714285715
240,1,1.6169594106355332,0.8602941176470589,0.8161764705882353,0.8823529411764706,0.75,0.8608870967741935,0.8407258064516129
240,2,1.7059375337431766,0.9638009049773756,0.8733031674208145,0.9230769230769231,0.8235294117647058,0.9290322580645162,0.8566820276497695
240,3,1.5051922212031317,0.8116883116883117,0.775974025974026,0.6428571428571429,0.9090909090909091,0.9077901430842608,0.9117647058823529
240,4,1.2954575515159366,0.8125,0.7244318181818181,0.6363636363636364,0.8125,0.9011824324324325,0.8336148648648649
240,5,1.6822373953283873,0.8968253968253969,0.873015873015873,0.8888888888888888,0.8571428571428571,0.8679012345679012,0.8444444444444444
240,6,1.5922031906114054,0.925,0.9041666666666667,0.9333333333333333,0.875,0.8522727272727273,0.8783143939393939
