experiment_id,row_index,active_dimension,active_value,time_law,e1,e2,amplitude_ratio,phase_ratio,mean,standard_deviation,skewness,kurtosis_excess,phase_of_minimum,phase_of_maximum,derivative_energy,harmonic_1_amplitude,harmonic_1_phase,harmonic_2_amplitude,harmonic_2_phase,harmonic_3_amplitude,harmonic_3_phase,harmonic_4_amplitude,harmonic_4_phase
IURM-DERD-PHI-001,10,phase_ratio,0.49999999999999994,geometric,0.2,0.7,0.5,0.49999999999999994,0.4656122769193777,0.3325124510215566,0.12238727138276023,-1.3588198642814684,0.5,0.0,1.732763756782528e-05,0.46880430076832,-1.276608593886947e-16,0.023381209798321832,-2.6119864450181095e-16,0.02652595081077345,-9.247575827714235e-16,0.009117223808843037,-5.098609962851719e-16
IURM-DERD-PHI-001,11,phase_ratio,0.5499999999999999,geometric,0.2,0.7,0.5,0.5499999999999999,0.46903729363363933,0.3330407784689212,0.10432035101915704,-1.3680968098031134,0.498046875,0.958984375,1.7526318573546403e-05,0.46880369356430784,0.0926202415237788,0.03598733501291868,1.210707725142035,0.025547160822025464,0.8345388011648102,0.009454802967224602,1.2912126576303546
IURM-DERD-PHI-001,12,phase_ratio,0.6,geometric,0.2,0.7,0.5,0.6,0.47960657441404436,0.33472571734571827,0.05008720082303883,-1.3929446820991365,0.494140625,0.919921875,1.8130566047710716e-05,0.4690222086412537,0.18250575247982495,0.05861169539075206,1.8558545614718942,0.023306692988935767,1.741179430293014,0.01015169246757394,2.5338133580640987
IURM-DERD-PHI-001,13,phase_ratio,0.6499999999999999,geometric,0.2,0.7,0.5,0.6499999999999999,0.4982581429103462,0.337913122896826,-0.0400306437488982,-1.4240076046990986,0.490234375,0.880859375,1.9168768539900343e-05,0.47018482358921365,0.266494054092505,0.08169985563819056,2.326802364961282,0.02202459981342648,2.775344781601489,0.010728685720640252,-2.5338133580640987
IURM-DERD-PHI-001,14,phase_ratio,0.7,geometric,0.2,0.7,0.5,0.7,0.5267610759356323,0.3433562993461518,-0.16398086695490582,-1.4445616940597474,0.484375,0.84375,2.0704907547500252e-05,0.4737473469291532,0.34044454913762023,0.10292828485204052,2.7432598382462263,0.02458950236005207,-2.416727962770993,0.011207891557572765,-1.29121265763036
IURM-DERD-PHI-001,15,phase_ratio,0.7499999999999999,geometric,0.2,0.7,0.5,0.7499999999999999,0.5681120297253386,0.3525969622102759,-0.3141314909124993,-1.430144977552606,0.478515625,0.810546875,2.2883135477655062e-05,0.48243684785166724,0.3984042852436434,0.1213492961413017,3.141592653589793,0.031539747775689214,-1.42642134429568,0.01228739695787588,-1.1735511551789218e-15
IURM-DERD-PHI-001,16,phase_ratio,0.7999999999999999,geometric,0.2,0.7,0.5,0.7999999999999999,0.620853633466862,0.3650661380399084,-0.4677954900741036,-1.3536335941027584,0.46875,0.921875,2.5520284274736007e-05,0.4963811352483458,0.43127582315258706,0.13501635524225047,-2.7432598382462285,0.04078295550133191,-0.5520044950591214,0.014701971088211176,1.291212657630354
IURM-DERD-PHI-001,17,phase_ratio,0.85,geometric,0.2,0.7,0.5,0.85,0.6202995633839057,0.3475867866168847,-0.5657462833542619,-1.2124216149345632,0.455078125,0.966796875,2.3600695232956726e-05,0.4719430746669325,0.42490645329415744,0.1283668782608865,-2.3268023649612823,0.04568389229807827,0.2747103016319254,0.016856919550748417,2.5338133580640974
IURM-DERD-PHI-001,18,phase_ratio,0.8999999999999999,geometric,0.2,0.7,0.5,0.8999999999999999,0.5967623921344269,0.32931762045608093,-0.4833422073947138,-1.1125787408208971,0.439453125,0.982421875,2.088723118472368e-05,0.4498940059629691,0.3589090415694094,0.10880733874104569,-1.855854561471895,0.04725730030508846,1.1250755677702813,0.018845703639013407,-2.533813358064098
IURM-DERD-PHI-001,19,phase_ratio,0.95,geometric,0.2,0.7,0.5,0.95,0.5460561859214288,0.32758504177874304,-0.11544505870269967,-1.3118115582538001,0.419921875,0.9921875,1.9647113792488145e-05,0.45326650401248864,0.21358708618832808,0.07974351957444983,-1.2107077251420386,0.04780883905063316,2.071206255831198,0.020950683489588326,-1.2912126576303602
